Project,Study,RoB_domain,Result
Replication,Pignataro 2013,Sequence generation,Unclear
Replication,Pignataro 2013,Baseline characteristics,Unclear
Replication,Pignataro 2013,Allocation concealment,Unclear
Replication,Pignataro 2013,Random housing,Unclear
Replication,Pignataro 2013,Blinded caregivers,Unclear
Replication,Pignataro 2013,Random outcome assessment,Unclear
Replication,Pignataro 2013,Blinding of outcome assessment,Low
Replication,Pignataro 2013,Incomplete outcome data,High
Replication,Pignataro 2013,Selective outcome reporting,Low
Replication,Pignataro 2013,Other,Unclear
Replication,Qi 2016,Sequence generation,Unclear
Replication,Qi 2016,Baseline characteristics,Unclear
Replication,Qi 2016,Allocation concealment,Unclear
Replication,Qi 2016,Random housing,Unclear
Replication,Qi 2016,Blinded caregivers,Unclear
Replication,Qi 2016,Random outcome assessment,Unclear
Replication,Qi 2016,Blinding of outcome assessment,Unclear
Replication,Qi 2016,Incomplete outcome data,Unclear
Replication,Qi 2016,Selective outcome reporting,High
Replication,Qi 2016,Other,High
Replication,Chen 2018,Sequence generation,Unclear
Replication,Chen 2018,Baseline characteristics,Low
Replication,Chen 2018,Allocation concealment,Unclear
Replication,Chen 2018,Random housing,Unclear
Replication,Chen 2018,Blinded caregivers,Unclear
Replication,Chen 2018,Random outcome assessment,Unclear
Replication,Chen 2018,Blinding of outcome assessment,Unclear
Replication,Chen 2018,Incomplete outcome data,Low
Replication,Chen 2018,Selective outcome reporting,High
Replication,Chen 2018,Other,Low
Replication,Chen 2018b,Sequence generation,Unclear
Replication,Chen 2018b,Baseline characteristics,Unclear
Replication,Chen 2018b,Allocation concealment,Unclear
Replication,Chen 2018b,Random housing,Unclear
Replication,Chen 2018b,Blinded caregivers,Unclear
Replication,Chen 2018b,Random outcome assessment,Unclear
Replication,Chen 2018b,Blinding of outcome assessment,Unclear
Replication,Chen 2018b,Incomplete outcome data,Unclear
Replication,Chen 2018b,Selective outcome reporting,Unclear
Replication,Chen 2018b,Other,Low
Replication,Xia 2016,Sequence generation,Unclear
Replication,Xia 2016,Baseline characteristics,Unclear
Replication,Xia 2016,Allocation concealment,Unclear
Replication,Xia 2016,Random housing,Unclear
Replication,Xia 2016,Blinded caregivers,Unclear
Replication,Xia 2016,Random outcome assessment,Unclear
Replication,Xia 2016,Blinding of outcome assessment,Unclear
Replication,Xia 2016,Incomplete outcome data,Unclear
Replication,Xia 2016,Selective outcome reporting,High
Replication,Xia 2016,Other,Low
Replication,Liang 2018,Sequence generation,Unclear
Replication,Liang 2018,Baseline characteristics,Unclear
Replication,Liang 2018,Allocation concealment,Unclear
Replication,Liang 2018,Random housing,Unclear
Replication,Liang 2018,Blinded caregivers,Unclear
Replication,Liang 2018,Random outcome assessment,Unclear
Replication,Liang 2018,Blinding of outcome assessment,Unclear
Replication,Liang 2018,Incomplete outcome data,High
Replication,Liang 2018,Selective outcome reporting,High
Replication,Liang 2018,Other,High
Replication,Liu 2014,Sequence generation,Unclear
Replication,Liu 2014,Baseline characteristics,Unclear
Replication,Liu 2014,Allocation concealment,Unclear
Replication,Liu 2014,Random housing,Unclear
Replication,Liu 2014,Blinded caregivers,Unclear
Replication,Liu 2014,Random outcome assessment,Unclear
Replication,Liu 2014,Blinding of outcome assessment,Unclear
Replication,Liu 2014,Incomplete outcome data,High
Replication,Liu 2014,Selective outcome reporting,High
Replication,Liu 2014,Other,Unclear
Replication,Shan 2013,Sequence generation,Unclear
Replication,Shan 2013,Baseline characteristics,Unclear
Replication,Shan 2013,Allocation concealment,Unclear
Replication,Shan 2013,Random housing,Unclear
Replication,Shan 2013,Blinded caregivers,Unclear
Replication,Shan 2013,Random outcome assessment,Unclear
Replication,Shan 2013,Blinding of outcome assessment,Unclear
Replication,Shan 2013,Incomplete outcome data,High
Replication,Shan 2013,Selective outcome reporting,High
Replication,Shan 2013,Other,High
Replication,Liu 2019,Sequence generation,Unclear
Replication,Liu 2019,Baseline characteristics,Unclear
Replication,Liu 2019,Allocation concealment,Unclear
Replication,Liu 2019,Random housing,Unclear
Replication,Liu 2019,Blinded caregivers,Unclear
Replication,Liu 2019,Random outcome assessment,Unclear
Replication,Liu 2019,Blinding of outcome assessment,Unclear
Replication,Liu 2019,Incomplete outcome data,Unclear
Replication,Liu 2019,Selective outcome reporting,High
Replication,Liu 2019,Other,High
Replication,Doeppner 2018,Sequence generation,Unclear
Replication,Doeppner 2018,Baseline characteristics,Unclear
Replication,Doeppner 2018,Allocation concealment,Unclear
Replication,Doeppner 2018,Random housing,Unclear
Replication,Doeppner 2018,Blinded caregivers,Unclear
Replication,Doeppner 2018,Random outcome assessment,Unclear
Replication,Doeppner 2018,Blinding of outcome assessment,Low
Replication,Doeppner 2018,Incomplete outcome data,Unclear
Replication,Doeppner 2018,Selective outcome reporting,High
Replication,Doeppner 2018,Other,Low
Replication,Liu 2018,Sequence generation,Unclear
Replication,Liu 2018,Baseline characteristics,Unclear
Replication,Liu 2018,Allocation concealment,Unclear
Replication,Liu 2018,Random housing,Unclear
Replication,Liu 2018,Blinded caregivers,Unclear
Replication,Liu 2018,Random outcome assessment,Unclear
Replication,Liu 2018,Blinding of outcome assessment,Unclear
Replication,Liu 2018,Incomplete outcome data,Unclear
Replication,Liu 2018,Selective outcome reporting,High
Replication,Liu 2018,Other,Unclear
Replication,Cheng 2014,Sequence generation,Unclear
Replication,Cheng 2014,Baseline characteristics,Unclear
Replication,Cheng 2014,Allocation concealment,Unclear
Replication,Cheng 2014,Random housing,Unclear
Replication,Cheng 2014,Blinded caregivers,Unclear
Replication,Cheng 2014,Random outcome assessment,Unclear
Replication,Cheng 2014,Blinding of outcome assessment,Unclear
Replication,Cheng 2014,Incomplete outcome data,Unclear
Replication,Cheng 2014,Selective outcome reporting,Unclear
Replication,Cheng 2014,Other,Unclear
Replication,Kong 2013,Sequence generation,Unclear
Replication,Kong 2013,Baseline characteristics,Unclear
Replication,Kong 2013,Allocation concealment,Unclear
Replication,Kong 2013,Random housing,Unclear
Replication,Kong 2013,Blinded caregivers,Unclear
Replication,Kong 2013,Random outcome assessment,Unclear
Replication,Kong 2013,Blinding of outcome assessment,Unclear
Replication,Kong 2013,Incomplete outcome data,High
Replication,Kong 2013,Selective outcome reporting,High
Replication,Kong 2013,Other,Unclear
Replication,Bonova 2016,Sequence generation,Unclear
Replication,Bonova 2016,Baseline characteristics,Unclear
Replication,Bonova 2016,Allocation concealment,Unclear
Replication,Bonova 2016,Random housing,Unclear
Replication,Bonova 2016,Blinded caregivers,Unclear
Replication,Bonova 2016,Random outcome assessment,Unclear
Replication,Bonova 2016,Blinding of outcome assessment,Low
Replication,Bonova 2016,Incomplete outcome data,High
Replication,Bonova 2016,Selective outcome reporting,High
Replication,Bonova 2016,Other,Low
Original,Cheng 2018,Sequence generation,Unclear
Original,Cheng 2018,Baseline characteristics,Unclear
Original,Cheng 2018,Allocation concealment,Unclear
Original,Cheng 2018,Random housing,Unclear
Original,Cheng 2018,Blinded caregivers,High
Original,Cheng 2018,Random outcome assessment,Unclear
Original,Cheng 2018,Blinding of outcome assessment,Unclear
Original,Cheng 2018,Incomplete outcome data,High
Original,Cheng 2018,Selective outcome reporting,High
Original,Cheng 2018,Other,Unclear
Original,Ma 2013,Sequence generation,Unclear
Original,Ma 2013,Baseline characteristics,Unclear
Original,Ma 2013,Allocation concealment,High
Original,Ma 2013,Random housing,Unclear
Original,Ma 2013,Blinded caregivers,High
Original,Ma 2013,Random outcome assessment,Unclear
Original,Ma 2013,Blinding of outcome assessment,Unclear
Original,Ma 2013,Incomplete outcome data,Unclear
Original,Ma 2013,Selective outcome reporting,High
Original,Ma 2013,Other,Low
Original,Kitagawa 2018,Sequence generation,Unclear
Original,Kitagawa 2018,Baseline characteristics,Unclear
Original,Kitagawa 2018,Allocation concealment,Unclear
Original,Kitagawa 2018,Random housing,Unclear
Original,Kitagawa 2018,Blinded caregivers,Unclear
Original,Kitagawa 2018,Random outcome assessment,Unclear
Original,Kitagawa 2018,Blinding of outcome assessment,Unclear
Original,Kitagawa 2018,Incomplete outcome data,Unclear
Original,Kitagawa 2018,Selective outcome reporting,High
Original,Kitagawa 2018,Other,Unclear
Original,Hahn 2011,Sequence generation,Unclear
Original,Hahn 2011,Baseline characteristics,Unclear
Original,Hahn 2011,Allocation concealment,Unclear
Original,Hahn 2011,Random housing,Unclear
Original,Hahn 2011,Blinded caregivers,High
Original,Hahn 2011,Random outcome assessment,Unclear
Original,Hahn 2011,Blinding of outcome assessment,Unclear
Original,Hahn 2011,Incomplete outcome data,Unclear
Original,Hahn 2011,Selective outcome reporting,High
Original,Hahn 2011,Other,Unclear
Original,Hoda 2013,Sequence generation,High
Original,Hoda 2013,Baseline characteristics,Unclear
Original,Hoda 2013,Allocation concealment,Low
Original,Hoda 2013,Random housing,Unclear
Original,Hoda 2013,Blinded caregivers,Low
Original,Hoda 2013,Random outcome assessment,Unclear
Original,Hoda 2013,Blinding of outcome assessment,Unclear
Original,Hoda 2013,Incomplete outcome data,Low
Original,Hoda 2013,Selective outcome reporting,Low
Original,Hoda 2013,Other,Unclear
Original,Pignataro 2013,Sequence generation,Unclear
Original,Pignataro 2013,Baseline characteristics,Unclear
Original,Pignataro 2013,Allocation concealment,Unclear
Original,Pignataro 2013,Random housing,Unclear
Original,Pignataro 2013,Blinded caregivers,High
Original,Pignataro 2013,Random outcome assessment,Unclear
Original,Pignataro 2013,Blinding of outcome assessment,Low
Original,Pignataro 2013,Incomplete outcome data,High
Original,Pignataro 2013,Selective outcome reporting,Low
Original,Pignataro 2013,Other,Low
Original,Qi 2016,Sequence generation,Unclear
Original,Qi 2016,Baseline characteristics,Unclear
Original,Qi 2016,Allocation concealment,Unclear
Original,Qi 2016,Random housing,Unclear
Original,Qi 2016,Blinded caregivers,Unclear
Original,Qi 2016,Random outcome assessment,Unclear
Original,Qi 2016,Blinding of outcome assessment,Unclear
Original,Qi 2016,Incomplete outcome data,High
Original,Qi 2016,Selective outcome reporting,High
Original,Qi 2016,Other,Low
Original,Chen 2018,Sequence generation,Unclear
Original,Chen 2018,Baseline characteristics,Unclear
Original,Chen 2018,Allocation concealment,Unclear
Original,Chen 2018,Random housing,Unclear
Original,Chen 2018,Blinded caregivers,Unclear
Original,Chen 2018,Random outcome assessment,Unclear
Original,Chen 2018,Blinding of outcome assessment,Unclear
Original,Chen 2018,Incomplete outcome data,High
Original,Chen 2018,Selective outcome reporting,High
Original,Chen 2018,Other,Low
Original,Chen 2018b,Sequence generation,Unclear
Original,Chen 2018b,Baseline characteristics,Unclear
Original,Chen 2018b,Allocation concealment,High
Original,Chen 2018b,Random housing,Unclear
Original,Chen 2018b,Blinded caregivers,High
Original,Chen 2018b,Random outcome assessment,Unclear
Original,Chen 2018b,Blinding of outcome assessment,Unclear
Original,Chen 2018b,Incomplete outcome data,High
Original,Chen 2018b,Selective outcome reporting,High
Original,Chen 2018b,Other,Unclear
Original,Xia 2016,Sequence generation,Unclear
Original,Xia 2016,Baseline characteristics,Unclear
Original,Xia 2016,Allocation concealment,Unclear
Original,Xia 2016,Random housing,Unclear
Original,Xia 2016,Blinded caregivers,Unclear
Original,Xia 2016,Random outcome assessment,Unclear
Original,Xia 2016,Blinding of outcome assessment,Unclear
Original,Xia 2016,Incomplete outcome data,High
Original,Xia 2016,Selective outcome reporting,High
Original,Xia 2016,Other,Unclear
Original,Liang 2018,Sequence generation,Unclear
Original,Liang 2018,Baseline characteristics,Unclear
Original,Liang 2018,Allocation concealment,Unclear
Original,Liang 2018,Random housing,Unclear
Original,Liang 2018,Blinded caregivers,Unclear
Original,Liang 2018,Random outcome assessment,Unclear
Original,Liang 2018,Blinding of outcome assessment,Unclear
Original,Liang 2018,Incomplete outcome data,High
Original,Liang 2018,Selective outcome reporting,High
Original,Liang 2018,Other,Unclear
Original,Liu 2014,Sequence generation,Unclear
Original,Liu 2014,Baseline characteristics,Unclear
Original,Liu 2014,Allocation concealment,Unclear
Original,Liu 2014,Random housing,Unclear
Original,Liu 2014,Blinded caregivers,Low
Original,Liu 2014,Random outcome assessment,Unclear
Original,Liu 2014,Blinding of outcome assessment,Unclear
Original,Liu 2014,Incomplete outcome data,Unclear
Original,Liu 2014,Selective outcome reporting,High
Original,Liu 2014,Other,Unclear
Original,Shan 2013,Sequence generation,Unclear
Original,Shan 2013,Baseline characteristics,Unclear
Original,Shan 2013,Allocation concealment,High
Original,Shan 2013,Random housing,Unclear
Original,Shan 2013,Blinded caregivers,High
Original,Shan 2013,Random outcome assessment,Unclear
Original,Shan 2013,Blinding of outcome assessment,Unclear
Original,Shan 2013,Incomplete outcome data,High
Original,Shan 2013,Selective outcome reporting,High
Original,Shan 2013,Other,Unclear
Original,Liu 2019,Sequence generation,Unclear
Original,Liu 2019,Baseline characteristics,Unclear
Original,Liu 2019,Allocation concealment,Unclear
Original,Liu 2019,Random housing,Unclear
Original,Liu 2019,Blinded caregivers,High
Original,Liu 2019,Random outcome assessment,Unclear
Original,Liu 2019,Blinding of outcome assessment,Unclear
Original,Liu 2019,Incomplete outcome data,High
Original,Liu 2019,Selective outcome reporting,High
Original,Liu 2019,Other,High
Original,Doeppner 2018,Sequence generation,Unclear
Original,Doeppner 2018,Baseline characteristics,Unclear
Original,Doeppner 2018,Allocation concealment,Unclear
Original,Doeppner 2018,Random housing,Unclear
Original,Doeppner 2018,Blinded caregivers,Unclear
Original,Doeppner 2018,Random outcome assessment,Unclear
Original,Doeppner 2018,Blinding of outcome assessment,Low
Original,Doeppner 2018,Incomplete outcome data,Low
Original,Doeppner 2018,Selective outcome reporting,Low
Original,Doeppner 2018,Other,Unclear
Original,Liu 2018,Sequence generation,Unclear
Original,Liu 2018,Baseline characteristics,Unclear
Original,Liu 2018,Allocation concealment,Unclear
Original,Liu 2018,Random housing,Unclear
Original,Liu 2018,Blinded caregivers,High
Original,Liu 2018,Random outcome assessment,Unclear
Original,Liu 2018,Blinding of outcome assessment,Unclear
Original,Liu 2018,Incomplete outcome data,Unclear
Original,Liu 2018,Selective outcome reporting,High
Original,Liu 2018,Other,Unclear
Original,Cheng 2014,Sequence generation,Unclear
Original,Cheng 2014,Baseline characteristics,Unclear
Original,Cheng 2014,Allocation concealment,High
Original,Cheng 2014,Random housing,Unclear
Original,Cheng 2014,Blinded caregivers,High
Original,Cheng 2014,Random outcome assessment,Unclear
Original,Cheng 2014,Blinding of outcome assessment,Unclear
Original,Cheng 2014,Incomplete outcome data,Unclear
Original,Cheng 2014,Selective outcome reporting,High
Original,Cheng 2014,Other,High
Original,Kong 2013,Sequence generation,Unclear
Original,Kong 2013,Baseline characteristics,Unclear
Original,Kong 2013,Allocation concealment,Unclear
Original,Kong 2013,Random housing,Unclear
Original,Kong 2013,Blinded caregivers,High
Original,Kong 2013,Random outcome assessment,Unclear
Original,Kong 2013,Blinding of outcome assessment,Unclear
Original,Kong 2013,Incomplete outcome data,High
Original,Kong 2013,Selective outcome reporting,Low
Original,Kong 2013,Other,High
Original,Bonova 2016,Sequence generation,Unclear
Original,Bonova 2016,Baseline characteristics,Unclear
Original,Bonova 2016,Allocation concealment,Unclear
Original,Bonova 2016,Random housing,Unclear
Original,Bonova 2016,Blinded caregivers,Unclear
Original,Bonova 2016,Random outcome assessment,Unclear
Original,Bonova 2016,Blinding of outcome assessment,Low
Original,Bonova 2016,Incomplete outcome data,High
Original,Bonova 2016,Selective outcome reporting,High
Original,Bonova 2016,Other,Unclear
