Author,Type,Study,Domain,Domain_short,Risk_Type
Gallas-Lopes,Original,"Burke, 2014",Selection bias: baseline characteristics,D2,Unclear
Gallas-Lopes,Original,"Burke, 2014",Selection bias: allocation concealment,D3,Unclear
Gallas-Lopes,Original,"Burke, 2014",Performance bias: random housing,D4,Unclear
Gallas-Lopes,Original,"Burke, 2014",Performance bias: blinding,D5,Unclear
Gallas-Lopes,Original,"Burke, 2014",Detection bias: random outcome assessment,D6,Unclear
Gallas-Lopes,Original,"Burke, 2014",Detection bias: blinding,D7,Unclear
Gallas-Lopes,Original,"Burke, 2014",Attrition bias: incomplete outcome data,D8,Unclear
Gallas-Lopes,Original,"Burke, 2014",Reporting bias: selective outcome reporting,D9,Low
Gallas-Lopes,Original,"Burke, 2014",Other sources of bias,D10,Low
Ramage,Replication,"Cardillo G. M., De-Paula V. J. R., Ikenaga E. H., Costa L. R., Catanozi S., Schaeffer E. L., Gattaz W. F., Kerr D. S., Forlenza O. V",Other sources of bias,D10,High
Ramage,Replication,"Cardillo G. M., De-Paula V. J. R., Ikenaga E. H., Costa L. R., Catanozi S., Schaeffer E. L., Gattaz W. F., Kerr D. S., Forlenza O. V",Selection bias: baseline characteristics,D2,Unclear
Ramage,Replication,"Cardillo G. M., De-Paula V. J. R., Ikenaga E. H., Costa L. R., Catanozi S., Schaeffer E. L., Gattaz W. F., Kerr D. S., Forlenza O. V",Selection bias: allocation concealment,D3,Unclear
Ramage,Replication,"Cardillo G. M., De-Paula V. J. R., Ikenaga E. H., Costa L. R., Catanozi S., Schaeffer E. L., Gattaz W. F., Kerr D. S., Forlenza O. V",Performance bias: random housing,D4,Unclear
Ramage,Replication,"Cardillo G. M., De-Paula V. J. R., Ikenaga E. H., Costa L. R., Catanozi S., Schaeffer E. L., Gattaz W. F., Kerr D. S., Forlenza O. V",Performance bias: blinding,D5,High
Ramage,Replication,"Cardillo G. M., De-Paula V. J. R., Ikenaga E. H., Costa L. R., Catanozi S., Schaeffer E. L., Gattaz W. F., Kerr D. S., Forlenza O. V",Detection bias: random outcome assessment,D6,Unclear
Ramage,Replication,"Cardillo G. M., De-Paula V. J. R., Ikenaga E. H., Costa L. R., Catanozi S., Schaeffer E. L., Gattaz W. F., Kerr D. S., Forlenza O. V",Detection bias: blinding,D7,Unclear
Ramage,Replication,"Cardillo G. M., De-Paula V. J. R., Ikenaga E. H., Costa L. R., Catanozi S., Schaeffer E. L., Gattaz W. F., Kerr D. S., Forlenza O. V",Attrition bias: incomplete outcome data,D8,Low
Ramage,Replication,"Cardillo G. M., De-Paula V. J. R., Ikenaga E. H., Costa L. R., Catanozi S., Schaeffer E. L., Gattaz W. F., Kerr D. S., Forlenza O. V",Reporting bias: selective outcome reporting,D9,Unclear
Ramage,Replication,Carrillo-Mora P. Ãlvarez-RuÃ­z Y.,Selection bias: sequence generation,D1,Unclear
Vojvodic,Replication,Chen 2018a,Selection bias: sequence generation,D1,Unclear
Vojvodic,Replication,Chen 2018a,Selection bias: baseline characteristics,D2,Low
Vojvodic,Replication,Chen 2018a,Selection bias: allocation concealment,D3,Unclear
Vojvodic,Replication,Chen 2018a,Performance bias: random housing,D4,Unclear
Vojvodic,Replication,Chen 2018a,Performance bias: blinding,D5,Unclear
Vojvodic,Replication,Chen 2018a,Detection bias: random outcome assessment,D6,Unclear
Vojvodic,Replication,Chen 2018a,Detection bias: blinding,D7,Unclear
Vojvodic,Replication,Chen 2018a,Attrition bias: incomplete outcome data,D8,Low
Vojvodic,Replication,Chen 2018a,Reporting bias: selective outcome reporting,D9,High
Vojvodic,Replication,Chen 2018a,Other sources of bias,D10,Low
Vojvodic,Original,Chen 2018a,Selection bias: sequence generation,D1,Unclear
Vojvodic,Original,Chen 2018a,Selection bias: baseline characteristics,D2,Unclear
Vojvodic,Original,Chen 2018a,Selection bias: allocation concealment,D3,Unclear
Vojvodic,Original,Chen 2018a,Performance bias: random housing,D4,Unclear
Vojvodic,Original,Chen 2018a,Performance bias: blinding,D5,Unclear
Vojvodic,Original,Chen 2018a,Detection bias: random outcome assessment,D6,Unclear
Vojvodic,Original,Chen 2018a,Detection bias: blinding,D7,Unclear
Vojvodic,Original,Chen 2018a,Attrition bias: incomplete outcome data,D8,High
Vojvodic,Original,Chen 2018a,Reporting bias: selective outcome reporting,D9,High
Vojvodic,Original,Chen 2018a,Other sources of bias,D10,Low
Vojvodic,Replication,Chen 2018b,Selection bias: sequence generation,D1,Unclear
Vojvodic,Replication,Chen 2018b,Selection bias: baseline characteristics,D2,Unclear
Vojvodic,Replication,Chen 2018b,Selection bias: allocation concealment,D3,Unclear
Vojvodic,Replication,Chen 2018b,Performance bias: random housing,D4,Unclear
Vojvodic,Replication,Chen 2018b,Performance bias: blinding,D5,Unclear
Vojvodic,Replication,Chen 2018b,Detection bias: random outcome assessment,D6,Unclear
Vojvodic,Replication,Chen 2018b,Detection bias: blinding,D7,Unclear
Vojvodic,Replication,Chen 2018b,Attrition bias: incomplete outcome data,D8,Unclear
Vojvodic,Replication,Chen 2018b,Reporting bias: selective outcome reporting,D9,Unclear
Vojvodic,Replication,Chen 2018b,Other sources of bias,D10,Low
Vojvodic,Original,Chen 2018b,Selection bias: sequence generation,D1,Unclear
Vojvodic,Original,Chen 2018b,Selection bias: baseline characteristics,D2,Unclear
Vojvodic,Original,Chen 2018b,Selection bias: allocation concealment,D3,High
Vojvodic,Original,Chen 2018b,Performance bias: random housing,D4,Unclear
Vojvodic,Original,Chen 2018b,Performance bias: blinding,D5,High
Vojvodic,Original,Chen 2018b,Detection bias: random outcome assessment,D6,Unclear
Vojvodic,Original,Chen 2018b,Detection bias: blinding,D7,Unclear
Vojvodic,Original,Chen 2018b,Attrition bias: incomplete outcome data,D8,High
Vojvodic,Original,Chen 2018b,Reporting bias: selective outcome reporting,D9,High
Vojvodic,Original,Chen 2018b,Other sources of bias,D10,Unclear
Vojvodic,Replication,Cheng 2014,Selection bias: sequence generation,D1,Unclear
Vojvodic,Replication,Cheng 2014,Selection bias: baseline characteristics,D2,Unclear
Vojvodic,Replication,Cheng 2014,Selection bias: allocation concealment,D3,Unclear
Vojvodic,Replication,Cheng 2014,Performance bias: random housing,D4,Unclear
Vojvodic,Replication,Cheng 2014,Performance bias: blinding,D5,Unclear
Vojvodic,Replication,Cheng 2014,Detection bias: random outcome assessment,D6,Unclear
Vojvodic,Replication,Cheng 2014,Detection bias: blinding,D7,Unclear
Vojvodic,Replication,Cheng 2014,Attrition bias: incomplete outcome data,D8,Unclear
Vojvodic,Replication,Cheng 2014,Reporting bias: selective outcome reporting,D9,Unclear
Vojvodic,Replication,Cheng 2014,Other sources of bias,D10,Unclear
Vojvodic,Original,Cheng 2014,Selection bias: sequence generation,D1,Unclear
Vojvodic,Original,Cheng 2014,Selection bias: baseline characteristics,D2,Unclear
Vojvodic,Original,Cheng 2014,Selection bias: allocation concealment,D3,High
Vojvodic,Original,Cheng 2014,Performance bias: random housing,D4,Unclear
Vojvodic,Original,Cheng 2014,Performance bias: blinding,D5,High
Vojvodic,Original,Cheng 2014,Detection bias: random outcome assessment,D6,Unclear
Vojvodic,Original,Cheng 2014,Detection bias: blinding,D7,Unclear
Vojvodic,Original,Cheng 2014,Attrition bias: incomplete outcome data,D8,Unclear
Vojvodic,Original,Cheng 2014,Reporting bias: selective outcome reporting,D9,High
Vojvodic,Original,Cheng 2014,Other sources of bias,D10,High
Vojvodic,Replication,Cheng 2018,Selection bias: sequence generation,D1,Unclear
Vojvodic,Replication,Cheng 2018,Selection bias: baseline characteristics,D2,Unclear
Vojvodic,Replication,Cheng 2018,Selection bias: allocation concealment,D3,Unclear
Vojvodic,Replication,Cheng 2018,Performance bias: random housing,D4,Unclear
Vojvodic,Replication,Cheng 2018,Performance bias: blinding,D5,Unclear
Vojvodic,Replication,Cheng 2018,Detection bias: random outcome assessment,D6,Unclear
Vojvodic,Replication,Cheng 2018,Detection bias: blinding,D7,Unclear
Vojvodic,Replication,Cheng 2018,Attrition bias: incomplete outcome data,D8,Low
Vojvodic,Replication,Cheng 2018,Reporting bias: selective outcome reporting,D9,Unclear
Vojvodic,Replication,Cheng 2018,Other sources of bias,D10,Low
Vojvodic,Original,Cheng 2018,Selection bias: sequence generation,D1,Unclear
Vojvodic,Original,Cheng 2018,Selection bias: baseline characteristics,D2,Unclear
Vojvodic,Original,Cheng 2018,Selection bias: allocation concealment,D3,Unclear
Vojvodic,Original,Cheng 2018,Performance bias: random housing,D4,Unclear
Vojvodic,Original,Cheng 2018,Performance bias: blinding,D5,High
Vojvodic,Original,Cheng 2018,Detection bias: random outcome assessment,D6,Unclear
Vojvodic,Original,Cheng 2018,Detection bias: blinding,D7,Unclear
Vojvodic,Original,Cheng 2018,Attrition bias: incomplete outcome data,D8,High
Vojvodic,Original,Cheng 2018,Reporting bias: selective outcome reporting,D9,High
Vojvodic,Original,Cheng 2018,Other sources of bias,D10,Unclear
Gallas-Lopes,Replication,"Chijiwa, 2015",Selection bias: sequence generation,D1,Unclear
Gallas-Lopes,Replication,"Chijiwa, 2015",Selection bias: baseline characteristics,D2,Low
Gallas-Lopes,Replication,"Chijiwa, 2015",Selection bias: allocation concealment,D3,Unclear
Gallas-Lopes,Replication,"Chijiwa, 2015",Performance bias: random housing,D4,Unclear
Gallas-Lopes,Replication,"Chijiwa, 2015",Performance bias: blinding,D5,Unclear
Gallas-Lopes,Replication,"Chijiwa, 2015",Detection bias: random outcome assessment,D6,Unclear
Gallas-Lopes,Replication,"Chijiwa, 2015",Detection bias: blinding,D7,Low
Gallas-Lopes,Replication,"Chijiwa, 2015",Attrition bias: incomplete outcome data,D8,Low
Gallas-Lopes,Replication,"Chijiwa, 2015",Reporting bias: selective outcome reporting,D9,Low
Gallas-Lopes,Replication,"Chijiwa, 2015",Other sources of bias,D10,Low
Gallas-Lopes,Original,"Chijiwa, 2015",Selection bias: sequence generation,D1,Unclear
Gallas-Lopes,Original,"Chijiwa, 2015",Selection bias: baseline characteristics,D2,Unclear
Gallas-Lopes,Original,"Chijiwa, 2015",Selection bias: allocation concealment,D3,Unclear
Gallas-Lopes,Original,"Chijiwa, 2015",Performance bias: random housing,D4,Unclear
Gallas-Lopes,Original,"Chijiwa, 2015",Performance bias: blinding,D5,Unclear
Gallas-Lopes,Original,"Chijiwa, 2015",Detection bias: random outcome assessment,D6,Unclear
Gallas-Lopes,Original,"Chijiwa, 2015",Detection bias: blinding,D7,Unclear
Gallas-Lopes,Original,"Chijiwa, 2015",Attrition bias: incomplete outcome data,D8,Low
Gallas-Lopes,Original,"Chijiwa, 2015",Reporting bias: selective outcome reporting,D9,Low
Gallas-Lopes,Original,"Chijiwa, 2015",Other sources of bias,D10,Low
Ramage,Original,"Cisternas et al., 2019",Selection bias: sequence generation,D1,Unclear
Ramage,Replication,"Cisternas et al., 2019",Selection bias: sequence generation,D1,Unclear
Ramage,Original,"Cisternas et al., 2019",Other sources of bias,D10,Low
Ramage,Original,"Cisternas et al., 2019",Selection bias: baseline characteristics,D2,Low
Ramage,Original,"Cisternas et al., 2019",Selection bias: allocation concealment,D3,Unclear
Ramage,Original,"Cisternas et al., 2019",Performance bias: random housing,D4,High
Ramage,Original,"Cisternas et al., 2019",Performance bias: blinding,D5,High
Ramage,Original,"Cisternas et al., 2019",Detection bias: random outcome assessment,D6,High
Ramage,Original,"Cisternas et al., 2019",Detection bias: blinding,D7,Low
Ramage,Original,"Cisternas et al., 2019",Attrition bias: incomplete outcome data,D8,Low
Ramage,Original,"Cisternas et al., 2019",Reporting bias: selective outcome reporting,D9,Low
Ramage,Replication,"Cisternas et al., 2019",Other sources of bias,D10,Low
Ramage,Replication,"Cisternas et al., 2019",Selection bias: baseline characteristics,D2,Unclear
Ramage,Replication,"Cisternas et al., 2019",Selection bias: allocation concealment,D3,Unclear
Ramage,Replication,"Cisternas et al., 2019",Performance bias: random housing,D4,Low
Ramage,Replication,"Cisternas et al., 2019",Performance bias: blinding,D5,Unclear
Ramage,Replication,"Cisternas et al., 2019",Detection bias: random outcome assessment,D6,Unclear
Ramage,Replication,"Cisternas et al., 2019",Detection bias: blinding,D7,Low
Ramage,Replication,"Cisternas et al., 2019",Attrition bias: incomplete outcome data,D8,Low
Ramage,Replication,"Cisternas et al., 2019",Reporting bias: selective outcome reporting,D9,Unclear
Gallas-Lopes,Replication,"Deak, 2005",Selection bias: sequence generation,D1,Unclear
Gallas-Lopes,Replication,"Deak, 2005",Selection bias: baseline characteristics,D2,Unclear
Gallas-Lopes,Replication,"Deak, 2005",Selection bias: allocation concealment,D3,Unclear
Gallas-Lopes,Replication,"Deak, 2005",Performance bias: random housing,D4,Unclear
Gallas-Lopes,Replication,"Deak, 2005",Performance bias: blinding,D5,Unclear
Gallas-Lopes,Replication,"Deak, 2005",Detection bias: random outcome assessment,D6,Unclear
Gallas-Lopes,Replication,"Deak, 2005",Detection bias: blinding,D7,Low
Gallas-Lopes,Replication,"Deak, 2005",Attrition bias: incomplete outcome data,D8,Unclear
Gallas-Lopes,Replication,"Deak, 2005",Reporting bias: selective outcome reporting,D9,Low
Gallas-Lopes,Replication,"Deak, 2005",Other sources of bias,D10,Low
Gallas-Lopes,Original,"Deak, 2005",Selection bias: sequence generation,D1,Unclear
Gallas-Lopes,Original,"Deak, 2005",Selection bias: baseline characteristics,D2,Unclear
Gallas-Lopes,Original,"Deak, 2005",Selection bias: allocation concealment,D3,Unclear
Gallas-Lopes,Original,"Deak, 2005",Performance bias: random housing,D4,Unclear
Gallas-Lopes,Original,"Deak, 2005",Performance bias: blinding,D5,Unclear
Gallas-Lopes,Original,"Deak, 2005",Detection bias: random outcome assessment,D6,Unclear
Gallas-Lopes,Original,"Deak, 2005",Detection bias: blinding,D7,Unclear
Gallas-Lopes,Original,"Deak, 2005",Attrition bias: incomplete outcome data,D8,Low
Gallas-Lopes,Original,"Deak, 2005",Reporting bias: selective outcome reporting,D9,Low
Gallas-Lopes,Original,"Deak, 2005",Other sources of bias,D10,Low
Vojvodic,Replication,Doeppner 2018,Selection bias: sequence generation,D1,Unclear
Vojvodic,Replication,Doeppner 2018,Selection bias: baseline characteristics,D2,Unclear
Vojvodic,Replication,Doeppner 2018,Selection bias: allocation concealment,D3,Unclear
Vojvodic,Replication,Doeppner 2018,Performance bias: random housing,D4,Unclear
Vojvodic,Replication,Doeppner 2018,Performance bias: blinding,D5,Unclear
Vojvodic,Replication,Doeppner 2018,Detection bias: random outcome assessment,D6,Unclear
Vojvodic,Replication,Doeppner 2018,Detection bias: blinding,D7,Low
Vojvodic,Replication,Doeppner 2018,Attrition bias: incomplete outcome data,D8,Unclear
Vojvodic,Replication,Doeppner 2018,Reporting bias: selective outcome reporting,D9,High
Vojvodic,Replication,Doeppner 2018,Other sources of bias,D10,Low
Vojvodic,Original,Doeppner 2018,Selection bias: sequence generation,D1,Unclear
Vojvodic,Original,Doeppner 2018,Selection bias: baseline characteristics,D2,Unclear
Vojvodic,Original,Doeppner 2018,Selection bias: allocation concealment,D3,Unclear
Vojvodic,Original,Doeppner 2018,Performance bias: random housing,D4,Unclear
Vojvodic,Original,Doeppner 2018,Performance bias: blinding,D5,Unclear
Vojvodic,Original,Doeppner 2018,Detection bias: random outcome assessment,D6,Unclear
Vojvodic,Original,Doeppner 2018,Detection bias: blinding,D7,Low
Vojvodic,Original,Doeppner 2018,Attrition bias: incomplete outcome data,D8,Low
Vojvodic,Original,Doeppner 2018,Reporting bias: selective outcome reporting,D9,Low
Vojvodic,Original,Doeppner 2018,Other sources of bias,D10,Unclear
Ramage,Replication,"Gao et al., 2022",Other sources of bias,D10,Low
Ramage,Replication,"Gao et al., 2022",Selection bias: baseline characteristics,D2,Unclear
Ramage,Replication,"Gao et al., 2022",Selection bias: allocation concealment,D3,Unclear
Ramage,Replication,"Gao et al., 2022",Performance bias: random housing,D4,Unclear
Ramage,Replication,"Gao et al., 2022",Performance bias: blinding,D5,Unclear
Ramage,Replication,"Gao et al., 2022",Detection bias: random outcome assessment,D6,Unclear
Ramage,Replication,"Gao et al., 2022",Detection bias: blinding,D7,Unclear
Ramage,Replication,"Gao et al., 2022",Attrition bias: incomplete outcome data,D8,Unclear
Ramage,Replication,"Gao et al., 2022",Reporting bias: selective outcome reporting,D9,Unclear
Ramage,Original,"Gao et al., 2022",Selection bias: sequence generation,D1,Unclear
Ramage,Replication,"Gao et al., 2022",Selection bias: sequence generation,D1,Unclear
Ramage,Original,"Gao et al., 2022",Other sources of bias,D10,Low
Ramage,Original,"Gao et al., 2022",Selection bias: baseline characteristics,D2,Low
Ramage,Original,"Gao et al., 2022",Selection bias: allocation concealment,D3,Unclear
Ramage,Original,"Gao et al., 2022",Performance bias: random housing,D4,High
Ramage,Original,"Gao et al., 2022",Performance bias: blinding,D5,High
Ramage,Original,"Gao et al., 2022",Detection bias: random outcome assessment,D6,Low
Ramage,Original,"Gao et al., 2022",Detection bias: blinding,D7,High
Ramage,Original,"Gao et al., 2022",Attrition bias: incomplete outcome data,D8,Unclear
Ramage,Original,"Gao et al., 2022",Reporting bias: selective outcome reporting,D9,Low
Ramage,Original,"Gelfo et al., 2017",Selection bias: sequence generation,D1,Unclear
Ramage,Replication,"Gelfo et al., 2017",Selection bias: sequence generation,D1,Unclear
Ramage,Original,"Gelfo et al., 2017",Other sources of bias,D10,Low
Ramage,Original,"Gelfo et al., 2017",Selection bias: baseline characteristics,D2,Low
Ramage,Original,"Gelfo et al., 2017",Selection bias: allocation concealment,D3,Unclear
Ramage,Original,"Gelfo et al., 2017",Performance bias: random housing,D4,Unclear
Ramage,Original,"Gelfo et al., 2017",Performance bias: blinding,D5,High
Ramage,Original,"Gelfo et al., 2017",Detection bias: random outcome assessment,D6,High
Ramage,Original,"Gelfo et al., 2017",Detection bias: blinding,D7,High
Ramage,Original,"Gelfo et al., 2017",Attrition bias: incomplete outcome data,D8,High
Ramage,Original,"Gelfo et al., 2017",Reporting bias: selective outcome reporting,D9,Low
Ramage,Replication,"Gelfo et al., 2017",Other sources of bias,D10,Unclear
Ramage,Replication,"Gelfo et al., 2017",Selection bias: baseline characteristics,D2,Unclear
Ramage,Replication,"Gelfo et al., 2017",Selection bias: allocation concealment,D3,Unclear
Ramage,Replication,"Gelfo et al., 2017",Performance bias: random housing,D4,Unclear
Ramage,Replication,"Gelfo et al., 2017",Performance bias: blinding,D5,Unclear
Ramage,Replication,"Gelfo et al., 2017",Detection bias: random outcome assessment,D6,Unclear
Ramage,Replication,"Gelfo et al., 2017",Detection bias: blinding,D7,Unclear
Ramage,Replication,"Gelfo et al., 2017",Attrition bias: incomplete outcome data,D8,Unclear
Ramage,Replication,"Gelfo et al., 2017",Reporting bias: selective outcome reporting,D9,Unclear
Ramage,Original,"Habib et al., 2017",Selection bias: sequence generation,D1,High
Ramage,Original,"Habib et al., 2017",Other sources of bias,D10,Low
Ramage,Original,"Habib et al., 2017",Selection bias: baseline characteristics,D2,Low
Ramage,Original,"Habib et al., 2017",Selection bias: allocation concealment,D3,High
Ramage,Original,"Habib et al., 2017",Performance bias: random housing,D4,High
Ramage,Original,"Habib et al., 2017",Performance bias: blinding,D5,High
Ramage,Original,"Habib et al., 2017",Detection bias: random outcome assessment,D6,High
Ramage,Original,"Habib et al., 2017",Detection bias: blinding,D7,High
Ramage,Original,"Habib et al., 2017",Attrition bias: incomplete outcome data,D8,Unclear
Ramage,Original,"Habib et al., 2017",Reporting bias: selective outcome reporting,D9,Low
Ramage,Replication,"Habib et al., 2019",Other sources of bias,D10,High
Ramage,Replication,"Habib et al., 2019",Selection bias: baseline characteristics,D2,Unclear
Ramage,Replication,"Habib et al., 2019",Selection bias: allocation concealment,D3,Unclear
Ramage,Replication,"Habib et al., 2019",Performance bias: random housing,D4,Unclear
